time_sec,step,x,y,yaw_rad,yaw_deg,distance_to_goal_m,linear_cmd,angular_cmd,pixel_x,pixel_y,map_value,map_class
20.540,1,3.981093,7.866723,0.000418,0.024,9.505867,0.150000,0.000000,79,224,254,free
20.747,1,4.002589,7.866732,0.000396,0.023,9.488838,0.150000,0.000000,80,224,254,free
20.966,1,4.033008,7.866744,0.000355,0.020,9.464773,0.150000,0.000000,80,224,254,free
21.257,1,4.078627,7.866760,0.000301,0.017,9.428753,0.150000,0.000000,81,224,254,free
21.567,1,4.119288,7.866773,0.000275,0.016,9.396718,0.150000,0.000000,82,224,254,free
21.856,1,4.165181,7.866786,0.000252,0.014,9.360643,0.150000,0.000000,83,224,254,free
22.159,1,4.211123,7.866798,0.000258,0.015,9.324616,0.150000,0.000000,84,224,254,free
22.450,1,4.257086,7.866810,0.000277,0.016,9.288660,0.150000,0.000000,85,224,254,free
22.754,1,4.303028,7.866823,0.000285,0.016,9.252810,0.150000,0.000000,86,224,254,free
22.963,1,4.333633,7.866832,0.000290,0.017,9.228977,0.150000,0.000000,86,224,254,free
23.251,1,4.374409,7.866843,0.000293,0.017,9.197286,0.150000,0.000000,87,224,254,free
23.452,1,4.404970,7.866852,0.000293,0.017,9.173580,0.150000,0.000000,88,224,254,free
23.654,1,4.435527,7.866862,0.000294,0.017,9.149918,0.150000,0.000000,88,224,254,free
23.951,1,4.481378,7.866876,0.000299,0.017,9.114490,0.150000,0.000000,89,224,254,free
24.165,1,4.511969,7.866886,0.000302,0.017,9.090905,0.150000,0.000000,90,224,254,free
24.370,1,4.542582,7.866896,0.000305,0.017,9.067344,0.150000,0.000000,90,224,254,free
24.656,1,4.588533,7.866910,0.000312,0.018,9.032060,0.150000,0.000000,91,224,254,free
24.863,1,4.614069,7.866918,0.000317,0.018,9.012492,0.150000,0.000000,92,224,254,free
25.156,1,4.660020,7.866933,0.000327,0.019,8.977357,0.150000,0.000000,93,224,254,free
25.357,1,4.690634,7.866943,0.000333,0.019,8.954004,0.150000,0.000000,93,224,254,free
25.559,1,4.721226,7.866953,0.000337,0.019,8.930711,0.150000,0.000000,94,224,254,free
25.856,1,4.767079,7.866969,0.000342,0.020,8.895879,0.150000,0.000000,95,224,254,free
26.058,1,4.797639,7.866979,0.000345,0.020,8.872721,0.150000,0.000000,95,224,254,free
26.269,1,4.828201,7.866991,0.000347,0.020,8.849605,0.150000,0.000000,96,224,254,free
26.556,1,4.868974,7.867006,0.000350,0.020,8.818837,0.150000,0.000000,97,224,254,free
26.764,1,4.899577,7.867016,0.000354,0.020,8.795798,0.150000,0.000000,97,224,254,free
26.970,1,4.930200,7.867028,0.000358,0.021,8.772790,0.150000,0.000000,98,224,254,free
27.259,1,4.976153,7.867045,0.000366,0.021,8.738350,0.150000,0.000000,99,224,254,free
34.066,1,5.009295,7.867058,0.000673,0.039,8.713577,0.150000,0.000000,100,224,254,free
34.279,1,5.037466,7.867077,0.000626,0.036,8.692558,0.150000,0.000000,100,224,254,free
34.572,1,5.083218,7.867106,0.000550,0.032,8.658511,0.150000,0.000000,101,224,254,free
34.772,1,5.113811,7.867122,0.000531,0.030,8.635806,0.150000,0.000000,102,224,254,free
35.070,1,5.154656,7.867144,0.000522,0.030,8.605569,0.150000,0.000000,103,224,254,free
35.284,1,5.185288,7.867160,0.000527,0.030,8.582951,0.150000,0.000000,103,224,254,free
35.569,1,5.231220,7.867184,0.000540,0.031,8.549129,0.150000,0.000000,104,224,254,free
35.866,1,5.277114,7.867210,0.000550,0.031,8.515447,0.150000,0.000000,105,224,254,free
36.097,1,5.307682,7.867226,0.000555,0.032,8.493076,0.150000,0.000000,106,224,254,free
36.395,1,5.353518,7.867252,0.000553,0.032,8.459627,0.150000,0.000000,107,224,254,free
36.677,1,5.399372,7.867279,0.000552,0.032,8.426283,0.150000,0.000000,107,224,254,free
36.881,1,5.424866,7.867293,0.000556,0.032,8.407794,0.150000,0.000000,108,224,254,free
37.090,1,5.455478,7.867310,0.000561,0.032,8.385643,0.150000,0.000000,109,224,254,free
