action_id,agent_step,tool_name,requested_value,time_start_sec,time_end_sec,duration_sec,start_x,start_y,start_yaw_deg,end_x,end_y,end_yaw_deg,actual_value,distance_to_goal_m,result
1,1,move_forward,0.600000,8.641,12.784,4.142,3.981125,7.866717,0.009,4.583407,7.866763,0.004,0.602282,9.036085,"Moved 0.60 m. Now at (4.58, 7.87)."
2,2,move_forward,0.590000,14.281,18.420,4.139,4.597945,7.866763,0.010,5.200692,7.866854,0.010,0.602747,8.571808,"Moved 0.60 m. Now at (5.20, 7.87)."
3,3,rotate,22.000000,19.752,21.027,1.275,5.214907,7.866857,0.014,5.232719,7.867318,22.346,22.331271,8.547937,Rotated 22.3 deg. Heading now 22.3 deg.
4,4,move_forward,0.530000,22.244,25.854,3.609,5.228065,7.866226,29.527,5.685587,8.135025,30.439,0.530640,8.034365,"Moved 0.53 m. Now at (5.69, 8.14)."
5,5,rotate,-31.000000,26.838,28.177,1.338,5.698343,8.142520,30.418,5.692243,8.140349,-0.754,-31.186315,8.025872,Rotated 31.2 deg. Heading now -0.8 deg.
6,6,move_forward,0.600000,29.357,33.475,4.118,5.701185,8.140351,-11.091,6.291479,8.022394,-11.355,0.601965,7.688650,"Moved 0.60 m. Now at (6.29, 8.02)."
7,7,rotate,21.000000,34.594,35.686,1.091,6.306002,8.019435,-11.414,6.313808,8.019494,11.679,23.092814,7.675637,Rotated 23.1 deg. Heading now 11.7 deg.
8,8,move_forward,0.600000,36.855,41.008,4.153,6.313603,8.018452,19.623,6.883849,8.227149,20.084,0.607235,7.142198,"Moved 0.61 m. Now at (6.88, 8.23)."
9,9,rotate,-29.000000,42.225,43.612,1.387,6.897854,8.232266,20.096,6.890788,8.231101,-10.881,-30.977285,7.134692,Rotated 31.0 deg. Heading now -10.9 deg.
10,10,move_forward,0.600000,44.966,49.163,4.197,6.896055,8.230636,-18.594,7.470074,8.033223,-18.977,0.607017,6.933578,"Moved 0.61 m. Now at (7.47, 8.03)."
11,11,rotate,27.000000,50.688,52.090,1.402,7.483737,8.028439,-18.891,7.495425,8.026993,9.445,28.335862,6.923900,Rotated 28.3 deg. Heading now 9.4 deg.
12,12,move_forward,0.600000,53.583,57.747,4.164,7.491327,8.026962,16.603,8.068906,8.197837,16.484,0.602325,6.462489,"Moved 0.60 m. Now at (8.07, 8.20)."
13,13,rotate,-23.000000,59.275,60.560,1.284,8.082716,8.201919,16.290,8.091199,8.199910,-8.416,-24.706433,6.448878,Rotated 24.7 deg. Heading now -8.4 deg.
14,14,move_forward,0.600000,70.011,74.238,4.227,8.095096,8.200305,-16.608,8.677542,8.026299,-16.634,0.607883,6.312483,"Moved 0.61 m. Now at (8.68, 8.03)."
15,15,rotate,25.000000,75.831,77.044,1.213,8.691462,8.022152,-16.613,8.699798,8.021845,10.380,26.993477,6.306503,Rotated 27.0 deg. Heading now 10.4 deg.
16,16,move_forward,0.600000,78.123,82.259,4.136,8.696806,8.021338,16.798,9.277041,8.201282,17.219,0.607496,5.904585,"Moved 0.61 m. Now at (9.28, 8.20)."
17,17,rotate,-24.000000,83.714,84.861,1.146,9.291266,8.205687,17.303,9.286989,8.204476,-6.861,-24.167874,5.897867,Rotated 24.2 deg. Heading now -6.9 deg.
18,18,move_forward,0.600000,94.254,98.432,4.178,9.292123,8.204584,-15.003,9.878873,8.047348,-15.007,0.607453,5.851607,"Moved 0.61 m. Now at (9.88, 8.05)."
